gender,age,education_level,experience_years,screening_score,shortlisted
Male,35,Masters,1,72.47312981139616,0
Female,32,Bachelors,15,55.00408449141816,0
Male,36,Masters,19,60.15600374131817,0
Male,44,Bachelors,6,75.84639698269119,0
Male,39,High School,1,43.2975400257319,1
Female,28,Bachelors,0,88.02511859074755,1
Male,41,Masters,18,78.34492720704601,0
Male,37,Bachelors,3,51.614668775102615,0
Male,43,Masters,1,93.9849860669323,0
Female,25,Masters,13,96.74103892486018,0
Male,42,Bachelors,1,68.19508341010261,0
Male,36,PhD,14,60.73510935299757,0
Male,26,High School,11,86.86303574202864,0
Male,28,Bachelors,4,66.5620986255974,0
Female,45,High School,19,71.61039507812853,1
Male,38,Masters,6,82.17289733922767,0
Female,45,Bachelors,9,68.46488536206803,0
Female,32,High School,13,67.58945749683332,0
Female,35,Bachelors,13,57.27605022794781,0
Male,47,Bachelors,4,63.69456904261985,1
Female,46,High School,17,67.39230153743932,1
Male,29,Masters,13,57.61436810965333,0
Female,33,Masters,1,58.520641817906224,1
Female,46,Bachelors,11,70.3360131664399,0
Female,35,PhD,5,51.5029585432804,1
Female,30,Bachelors,3,61.208369843786684,0
Female,36,PhD,12,89.44593993597022,0
Female,27,Bachelors,3,66.54531352859928,1
Female,37,Bachelors,13,65.29276591796149,1
Female,43,High School,15,66.5005416548516,1
Male,46,Masters,3,66.65847618545668,0
Male,41,Bachelors,0,75.74868869838383,0
Female,42,High School,12,75.04866153177801,1
Female,46,High School,3,66.0924158693548,0
Female,27,Bachelors,19,67.86162576862057,0
Male,34,Bachelors,17,83.1277311799006,0
Female,35,Masters,5,54.896952455297495,0
Male,41,Masters,2,69.42417983451278,0
Male,27,High School,12,71.35246540351231,0
Male,29,Masters,15,62.233171399008846,0
Male,39,High School,4,68.84863396508703,1
Male,36,Masters,3,60.88323539198117,0
Female,28,Masters,7,76.37169070701503,0
Female,38,Bachelors,18,56.61793344495621,0
Female,47,Masters,13,80.62333662420059,1
Female,43,Bachelors,6,69.26694842910443,0
Female,49,Bachelors,13,65.51966140566289,1
Male,38,Masters,5,59.95302900345726,0
Female,40,Bachelors,11,80.30657795987464,1
Female,27,Bachelors,15,63.48137865966041,0
Male,23,Bachelors,16,58.32751440505517,0
Female,38,Masters,12,80.51463319008118,1
Male,47,Bachelors,13,60.956941865053416,1
Female,30,High School,6,69.05517685855513,0
Male,27,Masters,13,78.18803775737263,0
Female,37,Masters,14,71.57957602780954,0
Female,34,High School,11,87.30851545869973,1
Male,44,Bachelors,16,61.65049631712323,0
Male,23,High School,8,67.89488663400259,0
Male,32,Bachelors,14,68.66821859732318,0
Male,48,Bachelors,11,76.21234952573995,1
Male,33,Masters,1,82.88623127838093,1
Male,22,Bachelors,4,70.73616509628697,1
Male,23,Bachelors,12,68.62336169639715,0
Male,25,Bachelors,19,55.170081321701346,1
Female,31,Masters,7,71.12381189796695,1
Female,28,Bachelors,13,63.49699990003546,1
Male,46,PhD,14,76.1843631059877,0
Female,43,Bachelors,10,65.90315810781972,0
Female,43,High School,0,67.5936194562993,1
Female,32,Bachelors,2,55.39731985416431,0
Female,27,Bachelors,16,51.88547916237461,0
Male,35,Bachelors,18,88.6098704018361,1
Female,44,High School,13,71.29683909565276,1
Male,37,High School,7,74.04335477630609,1
Female,24,Masters,12,60.87705036817247,1
Female,49,Bachelors,19,78.75523607178613,0
Female,42,Masters,2,76.9513989590436,0
Male,45,Bachelors,4,61.9757280557719,0
Female,33,Bachelors,8,59.404945641546135,0
Male,38,Bachelors,5,62.67472316172727,0
Female,21,Bachelors,1,69.71717351292888,0
Male,36,Bachelors,12,71.67107003140225,0
Female,33,Bachelors,4,70.38394008238652,1
Male,30,High School,7,82.98730108640204,1
Male,32,Bachelors,0,62.850431499039416,1
Female,22,Bachelors,19,59.133380089710805,1
Male,43,Masters,11,70.00099021851821,1
Female,23,Masters,10,53.06915184169054,1
Female,30,Masters,6,76.95737498510618,1
Female,22,Masters,14,70.97963264476127,1
Female,47,Bachelors,10,66.61961959090054,1
Female,43,Bachelors,15,66.06447126750861,1
Female,33,Masters,2,79.09995782121233,0
Female,33,Bachelors,19,78.78147935338531,0
Female,38,Bachelors,13,67.53628141586647,0
Female,23,High School,2,75.9176882355788,0
Female,47,Bachelors,0,78.63370461840339,0
Female,27,Bachelors,14,73.35526225624713,0
Male,34,Masters,0,67.94534980371274,0
Male,40,Bachelors,16,73.81167707490602,0
Female,49,Bachelors,1,59.60913357070625,1
Female,37,PhD,19,70.71105569293925,0
Female,49,High School,5,67.66873744373743,1
Female,41,Bachelors,7,66.10134376206531,1
Female,32,High School,15,52.7347898813657,0
Female,45,Masters,18,59.72402248587571,1
Female,36,Masters,0,65.14105175874619,0
Female,44,Bachelors,2,78.95039180638756,0
Male,32,Masters,2,72.85823490403988,0
Female,35,Bachelors,4,79.39674248027902,0
Male,45,Masters,11,82.4291338240013,0
Female,30,Masters,11,73.29309145249495,0
Female,45,Masters,19,71.40293410680297,0
Male,27,High School,12,60.2700600331479,0
Female,40,PhD,19,89.86671264573309,0
Male,25,Masters,8,55.82155928289809,1
Female,21,Bachelors,6,71.18734088208495,0
Female,37,Masters,3,78.32799003545382,0
Male,23,Bachelors,18,78.46737577531337,0
Female,33,Masters,18,58.449109095606765,0
Male,34,High School,5,65.8009699713241,0
Female,44,Masters,12,62.010452278823365,1
Male,38,Bachelors,10,50.195657704339794,0
Male,24,High School,12,71.30326741744962,1
Female,38,Bachelors,12,62.82384603760023,1
Female,25,High School,19,85.05482284711346,0
Male,45,Bachelors,14,76.15174438188672,0
Female,36,Bachelors,12,70.41401950214107,1
Female,21,Bachelors,10,65.27300467629131,1
Female,41,Bachelors,18,71.15116069785675,0
Male,34,Bachelors,7,67.4412618408422,1
Male,35,Masters,19,70.69539108893109,1
Male,29,High School,7,89.01635770831969,0
Male,35,Masters,9,59.35243844652322,1
Male,37,Masters,15,68.31358131351726,0
Male,45,Bachelors,18,77.06388400302224,0
Male,44,Bachelors,10,65.99859158214176,1
Male,24,Masters,12,85.8054184060837,1
Male,32,High School,8,76.78459153011838,0
Female,47,High School,19,62.811095848303765,0
Male,46,Bachelors,18,72.04068702274982,1
Female,25,Masters,15,62.953912658121986,1
Female,49,High School,6,62.033416856459056,1
Female,25,Bachelors,18,68.5980202029042,1
Male,31,PhD,11,82.63761161901782,1
Male,48,Masters,14,77.45445039784717,0
Male,26,Bachelors,13,69.77422393502744,0
Male,27,High School,10,77.81186194802393,0
Female,44,Masters,9,72.68618710415828,1
Male,34,Bachelors,10,58.30106974374712,1
Male,44,High School,5,68.5486238081169,0
Male,31,High School,1,69.26840404018535,0
Male,33,Masters,10,77.61690336925962,0
Male,22,Bachelors,18,64.33529499397903,0
Female,45,Masters,5,60.8733542433923,0
Male,27,Masters,13,69.54453043213194,0
Female,40,Bachelors,19,63.545754960054474,0
Male,24,Bachelors,5,66.76490780416364,0
Female,47,Bachelors,16,69.19120427108874,0
Male,28,Bachelors,9,66.16955836275545,0
Male,40,Bachelors,0,79.63182742852817,1
Female,49,Masters,2,84.14295106004421,0
Female,42,Bachelors,7,78.62910742958215,1
Female,41,Masters,7,52.28802834845136,1
Male,39,Bachelors,19,63.580263376981655,0
Female,33,Bachelors,14,68.21347880967805,0
Male,34,Bachelors,6,51.53726740649924,1
Male,30,Bachelors,10,61.241082828507196,1
Female,31,Masters,6,68.0857003076745,1
Female,22,Bachelors,3,65.51025918870938,1
Male,45,Bachelors,11,70.08650177308918,0
Male,46,High School,5,56.19171638723046,0
Female,29,Bachelors,13,65.39717649283163,0
Female,37,Bachelors,11,71.5190975072658,0
Female,46,Bachelors,10,70.1020147142487,0
Male,23,PhD,18,74.46893577647883,1
Male,44,Bachelors,4,73.88574361997533,0
Male,26,Masters,13,65.92893031245835,0
Male,25,Bachelors,15,71.20118883075122,1
Male,25,Bachelors,12,62.000069053049636,1
Male,42,High School,19,67.29771680972712,0
Female,35,Bachelors,3,59.44382528050294,1
Male,43,Bachelors,10,80.65424432276258,1
Male,37,Bachelors,16,67.26505699469269,0
Male,29,High School,6,80.63943446228063,0
Female,23,High School,13,73.11496068688446,0
Male,40,Bachelors,10,61.14337738343769,0
Male,46,PhD,8,72.5110659900152,0
Female,37,Bachelors,12,78.09718265087845,1
Male,49,Bachelors,17,69.22419208397487,1
Male,47,High School,10,70.74029352341239,1
Male,30,Bachelors,14,64.48542691644921,1
Male,23,Bachelors,18,70.24103226477348,1
Male,38,Bachelors,0,72.37898188802141,0
Female,38,Bachelors,3,64.21184185881489,0
Female,37,High School,13,59.207040633203455,1
Female,44,High School,13,82.87970499583194,0
Male,23,Bachelors,2,76.04120505984741,0
Male,23,High School,16,64.52341894628616,1
Male,26,High School,2,72.19657257158055,1
Female,33,Bachelors,15,55.21421332327011,0
Male,44,Masters,13,50.22929026089644,1
Male,49,Bachelors,19,80.84133087477801,0
Female,35,Bachelors,12,72.2955114026154,1
Male,45,Bachelors,14,69.52297530515384,0
Female,29,Masters,13,72.32657204812953,1
Female,24,Bachelors,18,100.0,0
Female,34,High School,5,78.69095286245324,1
Male,25,Bachelors,9,59.54559733625193,0
Male,22,High School,14,53.19623608079675,0
Male,31,Bachelors,19,80.54535763359416,0
Male,29,Bachelors,5,78.56095854230007,0
Male,44,Masters,9,75.75060767550441,0
Male,23,Bachelors,6,61.87120969100607,0
Male,47,Masters,16,73.63285389883976,1
Female,48,PhD,17,62.76654831256535,1
Male,49,High School,16,76.62781886020962,0
Female,29,Bachelors,8,79.82656907272342,1
Male,23,Bachelors,9,64.56527241170465,0
Male,45,Bachelors,9,81.31810161215424,0
Male,22,Bachelors,6,71.1485239956271,0
Female,32,Masters,15,74.91873212441985,0
Female,30,Masters,17,56.90366636309196,0
Female,29,Bachelors,5,72.322145059549,1
Female,35,Bachelors,19,63.24415612585332,0
Male,28,Masters,0,74.74633454014173,0
Female,45,PhD,0,84.67162669651262,0
Male,25,Masters,11,72.89520209316352,1
Male,31,High School,1,60.99145093566816,1
Female,47,Bachelors,3,76.26466091777587,1
Female,22,High School,16,74.01788745787717,1
Female,44,Bachelors,3,90.58601746400309,1
Female,48,High School,10,72.53967960900944,1
Female,35,Bachelors,3,64.14525008775931,0
Female,26,Bachelors,0,77.70641225646378,1
Female,28,High School,6,68.72321927694406,0
Female,47,Bachelors,17,70.80250989711774,1
Male,25,Bachelors,8,60.71523969624448,1
Female,36,Bachelors,2,68.77565187196586,1
Female,46,High School,7,70.30804697490436,0
Male,38,Bachelors,18,68.71651324263122,1
Female,26,Masters,3,64.09112637569179,1
Male,25,High School,17,72.88229130345296,0
Male,48,High School,19,60.76527583158166,0
Female,36,Bachelors,10,58.41005399476005,1
Male,33,Masters,13,77.0953617072644,1
Male,48,Bachelors,17,76.17750178087284,0
Male,25,Bachelors,15,56.92395519319648,0
Male,33,Bachelors,2,51.70444953567537,0
Female,37,Bachelors,14,59.912579546034316,0
Male,38,High School,3,68.71701005526802,1
Female,28,Bachelors,4,81.54349574765506,1
Male,33,Masters,16,68.4725543218748,1
Male,49,Bachelors,6,62.30638951271968,0
Male,39,Masters,15,71.48586229083061,1
Male,46,Masters,13,68.8598388475042,0
Female,23,High School,15,56.18992692547002,0
Female,44,Masters,6,56.24937115081289,0
Male,28,High School,8,56.518024978847066,0
Male,22,Bachelors,3,94.79851534907937,0
Female,28,High School,10,78.59981440273613,0
Male,47,High School,1,64.06283941464638,0
Male,33,Bachelors,11,81.08266822828932,0
Male,33,Bachelors,11,64.31943712338536,1
Female,21,Bachelors,3,80.7518039697373,0
Female,26,Bachelors,17,70.80306457069454,1
Female,44,High School,6,63.41148750202703,0
Male,39,High School,0,76.79820345828969,1
Male,36,Bachelors,12,71.37519572723684,1
Female,28,Bachelors,5,73.98267772179325,1
Female,48,Masters,5,72.1550702318411,1
Female,21,Bachelors,11,72.05014772870928,0
Female,47,Masters,7,78.00553888086745,0
Male,47,Bachelors,18,95.83806848817667,0
Female,36,Bachelors,4,82.48791900549558,0
Male,29,Bachelors,17,72.19645160283045,0
Female,33,Bachelors,4,66.89393085100427,1
Male,31,Bachelors,9,67.99265081998008,0
Female,33,Masters,0,57.438707053895506,1
Female,45,Bachelors,9,76.64543542553216,1
Female,41,Masters,4,59.85077308341658,1
Female,30,Masters,11,66.27545687950737,1
Male,24,Masters,6,76.70348702902,1
Female,47,Masters,8,67.62674696203474,0
Male,26,Bachelors,11,65.07712009470747,0
Male,48,Bachelors,0,58.02519313894357,1
Male,27,Bachelors,10,82.05326732304812,1
Male,25,Bachelors,14,61.66778134547121,1
Female,31,Bachelors,1,64.1412417305205,0
Male,33,Masters,19,52.08270580166139,1
Male,46,Bachelors,6,69.801389521921,0
Male,45,Bachelors,11,66.6670511363844,0
Female,39,High School,17,71.81857916968413,0
Female,43,Bachelors,2,58.253683230424265,0
Female,30,High School,6,77.34180793535135,0
Female,30,Masters,10,51.60789447153884,0
Male,31,Bachelors,17,69.07822500017595,0
Male,41,High School,11,71.15488283139584,0
Female,27,High School,5,70.57774006706084,1
Male,38,Bachelors,4,71.57754871160267,1
Male,24,Bachelors,0,77.88671684260866,0
Male,22,Bachelors,11,83.2469870497305,0
Female,34,High School,10,68.4439207168706,1
Female,33,Bachelors,3,60.32157364860387,0
Male,49,Bachelors,17,75.60717282292757,0
Female,32,Bachelors,3,67.1976061525581,1
Female,27,Bachelors,16,82.6461971162218,1
Female,22,Bachelors,1,63.98033385627874,0
Female,33,Bachelors,1,61.41989111367219,0
Female,34,PhD,11,71.43793750952676,0
Male,47,Bachelors,5,52.595822087630076,0
Female,37,Bachelors,9,65.32571286241716,0
Male,29,High School,15,66.70159423391651,0
Male,37,Bachelors,13,72.20472320772683,0
Female,28,High School,6,60.037279037298006,1
Male,22,Bachelors,18,61.204995277320485,1
Male,48,PhD,16,81.56913690696399,1
Male,44,Bachelors,8,69.86538545414348,1
Female,33,High School,12,78.64637183902961,0
Female,23,High School,4,64.58212598616537,1
Male,36,Bachelors,4,69.45549037579124,0
Female,26,High School,9,72.14534427029213,0
Female,39,High School,9,87.47554907623262,1
Female,27,Masters,6,67.82381819828518,1
Female,30,Bachelors,14,68.33731106279622,1
Male,29,Bachelors,6,80.98153027736738,0
Male,22,Masters,14,66.20188561514912,1
Female,48,High School,2,72.84629191672754,1
Female,48,PhD,18,80.10959206419031,0
Male,35,Bachelors,9,64.24158128301059,0
Male,25,Masters,14,73.40462446483656,0
Female,49,Bachelors,2,87.45550710145014,1
Male,42,Masters,5,79.21318048838154,0
Female,24,PhD,11,72.84933069684811,0
Female,40,Bachelors,14,67.75678688167366,0
Male,24,PhD,5,63.956817187251616,0
Male,38,Bachelors,12,60.118140767641925,1
Female,24,Bachelors,18,85.09623959965678,0
Female,47,Bachelors,2,83.1547104537,1
Male,37,Bachelors,7,63.42885522459422,1
Female,32,High School,7,73.3768699807814,1
Male,42,Bachelors,19,71.11326498506311,0
Female,37,Bachelors,14,81.84415461324073,0
Male,30,Masters,3,73.82801198301351,0
Male,42,Masters,18,69.77181239269652,0
Male,21,Bachelors,2,64.58314397704319,0
Female,42,Bachelors,12,73.40867845125827,1
Female,46,Bachelors,7,66.51817429037379,0
Male,44,High School,15,72.20684945129841,0
Female,47,High School,12,69.24028920541686,0
Male,38,Bachelors,2,66.27508120129853,0
Male,38,Bachelors,15,60.27259226368181,1
Female,34,PhD,8,75.14195252747301,0
Female,35,Bachelors,13,70.42570341379033,0
Male,49,Bachelors,12,87.87420855466428,1
Female,32,Bachelors,6,59.67655161622391,0
Female,24,High School,14,76.25298192232991,0
Male,47,Bachelors,6,69.17353531973359,0
Male,23,Bachelors,5,90.99758398326557,0
Female,40,Bachelors,1,75.48971917061468,0
Male,49,Bachelors,8,73.24688581635084,0
Male,32,PhD,16,69.1989756502618,1
Female,27,Masters,4,62.9687894533438,0
Male,49,Bachelors,11,73.1139279264093,1
Male,31,Bachelors,0,56.176973908632384,1
Female,21,Bachelors,9,56.63715911415029,0
Female,26,Bachelors,10,80.12438436829495,0
Male,35,Bachelors,15,52.37875860955935,0
Male,35,High School,13,66.80426441709163,1
Female,39,Bachelors,7,59.508735087410415,1
Female,31,Bachelors,16,65.97529307610337,1
Female,46,Bachelors,17,71.84545302339346,0
Female,43,PhD,11,79.84555290964173,1
Male,46,Masters,16,82.1763358973272,0
Female,22,Masters,13,60.81046780841178,0
Female,34,Bachelors,15,65.34038063373235,0
Male,22,Masters,13,100.0,0
Female,49,High School,8,67.49985314064638,0
Male,24,Masters,3,61.17789204004095,1
Female,37,High School,10,62.841992372585615,1
Female,23,Masters,5,67.55860083690669,1
Female,33,Bachelors,14,66.07262637211541,0
Male,29,Masters,4,67.6562987680513,1
Male,27,Masters,10,69.78573446273435,0
Female,35,High School,17,69.71592137706836,0
Male,43,Bachelors,12,60.44513502728806,0
Male,49,PhD,10,73.69331021156131,0
Male,49,Bachelors,13,71.21046949880684,0
Male,31,Masters,17,74.96581670549926,0
Male,40,Bachelors,18,52.85545946274843,0
Male,22,Bachelors,14,71.56844243691478,1
Female,35,Bachelors,8,50.14403684097984,0
Female,34,Bachelors,7,68.2442910552342,1
Male,40,Masters,19,76.57936292753075,1
Female,42,Bachelors,0,80.45779151602366,0
Female,31,Bachelors,3,73.34460064097004,1
Female,47,Bachelors,13,76.75390735292989,0
Female,23,Bachelors,1,67.00995037917541,1
Male,37,Masters,15,64.90832230075037,0
Female,32,PhD,2,96.92758162523727,1
Female,44,Bachelors,7,78.27160311865211,1
Male,48,Masters,5,58.270161485346065,1
Male,49,Masters,15,52.65336078467009,1
Female,41,Bachelors,15,65.34930550936424,0
Female,35,PhD,6,81.91868506308666,0
Female,36,Bachelors,12,70.48739154028767,0
Female,25,High School,12,47.75980177638715,0
Female,47,Masters,4,68.22706576810093,0
Female,40,Bachelors,19,69.97598449751449,1
Male,26,Masters,17,45.84332620534519,0
Female,39,Masters,14,70.2416615205019,1
Female,45,High School,17,59.86631992408676,1
Male,25,Masters,1,51.64453589211685,0
Male,23,Bachelors,9,86.04507580165401,1
Male,47,Bachelors,12,59.423977992150725,0
Male,21,Bachelors,17,63.32715264543719,1
Female,46,Masters,14,63.19417113933322,0
Female,48,High School,11,70.02238750924303,0
Female,26,Bachelors,14,87.66310607055874,0
Female,35,Bachelors,12,58.03813129764068,0
Female,22,Masters,17,66.93196485551405,0
Female,49,Bachelors,14,71.20861879026398,0
Male,23,High School,10,61.31208252840494,0
Female,37,Bachelors,18,66.77113595421393,1
Male,45,Bachelors,2,75.94499806749558,0
Male,44,Masters,6,62.442950132935074,0
Female,32,Bachelors,13,66.61357491269821,1
Male,38,Bachelors,13,65.68646073080714,1
Female,35,PhD,12,68.96193318865663,1
Male,32,High School,11,72.43151714623242,0
Female,36,PhD,8,75.86560768106878,0
Male,47,Bachelors,0,89.37554301962338,0
Female,28,Masters,18,43.41523568145789,0
Female,48,Bachelors,10,68.32608660794558,1
Female,34,High School,18,56.35563927757807,0
Female,45,Masters,17,66.14629999349096,1
Female,37,Masters,11,78.80867330694078,0
Male,49,Masters,0,81.97792522142379,1
Male,41,High School,18,82.44714576818409,0
Male,28,Masters,19,82.35292514850424,1
Female,35,Masters,16,68.26064928379571,1
Male,47,Bachelors,4,83.98530274707163,1
Female,34,Masters,2,85.96849794605842,0
Female,38,Masters,1,71.3880045454151,0
Male,40,Bachelors,2,81.77236601567563,1
Male,27,High School,7,70.41237018516578,0
Female,23,Bachelors,15,84.1023251555088,0
Male,49,High School,5,68.38336762636442,0
Female,32,Bachelors,12,63.90479518306815,0
Female,41,Bachelors,15,58.80008569728383,0
Female,44,High School,15,68.26370966762349,0
Female,48,Bachelors,2,70.84388194328302,0
Female,46,High School,12,60.54147338624046,0
Male,23,Masters,13,67.49891541004341,0
Male,40,Masters,7,64.73450690579234,0
Female,34,High School,11,59.23024453669491,0
Female,35,PhD,7,80.35884661553584,1
Male,45,Bachelors,8,82.11903603105785,1
Male,34,Bachelors,0,80.31432678292309,1
Female,27,High School,5,69.15844209378501,1
Male,37,Bachelors,18,69.77617194608128,0
Female,32,Masters,10,59.3682664426065,1
Male,40,Masters,10,74.14632895241338,0
Female,24,High School,12,71.6963170618562,1
Male,29,High School,10,98.43947396525681,0
Female,26,Bachelors,17,80.87102362015743,1
Male,36,Bachelors,14,73.15244926570854,0
Male,45,Bachelors,0,69.58390689006676,0
Female,48,Bachelors,6,80.01306537077225,1
Male,42,Masters,12,60.842613296194784,0
Female,42,Masters,11,81.39637812014031,0
Male,41,Bachelors,17,59.12856499762701,0
Female,41,Masters,18,64.38476142785268,0
Male,22,Bachelors,14,51.6182050059554,0
Female,44,Bachelors,7,76.14076223049092,1
Male,28,Bachelors,18,72.49929026263189,0
Female,31,Bachelors,9,64.38516975233976,0
Male,33,PhD,6,60.708612090241814,0
Female,37,Bachelors,17,83.78722226700067,1
Female,28,Bachelors,15,68.6639606239683,1
Female,41,Bachelors,19,62.32704625479424,1
Male,38,High School,5,89.21932963618025,1
Female,38,Masters,8,63.429370808582874,1
Male,34,Bachelors,12,81.38617071453785,1
Female,35,Bachelors,7,58.490094359894265,1
Male,26,Bachelors,15,66.45053769793027,0
Female,31,Bachelors,12,75.02291225382386,1
Male,33,High School,12,69.42163050395975,0
Male,45,Bachelors,16,72.43763021513053,1
Female,21,Bachelors,19,64.61165153975995,1
Male,48,Masters,4,54.02203848100406,1
Male,26,Masters,16,84.65576384364711,1
Female,29,Masters,8,65.2217162262593,0
Male,28,Bachelors,1,72.89012455532338,0
Male,31,Bachelors,17,77.01957491632326,0
Male,42,High School,8,73.08758204311393,1
Female,39,Masters,5,62.914087330617846,1
